Description|API|DATABASE|SAMPLE|Pricing
End of Day US Stock Prices|Time-Series|EOD|V|Premium
CLS FX Volume Data (aggregated hourly, delivered hourly)|Table|CLS|IDH|Premium
CLS FX Volume Data (aggregated hourly, delivered daily)|Time-Series|CLSH|USDZAR_SWP_TRD|Premium
Core US Fundamentals Data|Time-Series|SF1|WMT_GP_MRQ|Premium
Continuous Futures|Time-Series|SCF|CBOE_VX2_ON|Premium
BNC Digital Currency Indexed EOD|Time-Series|BNC2|MWA_AVT_USDT|Premium
Zacks Fundamentals Collection B|Table|ZACKS|FC|Premium
Barchart Eurex Futures|Time-Series|BCEUX|AIZ2016|Premium
Trading Economics|Time-Series|SGE|IDNHOUS|Premium
Credit Default Swap Data|Table|CFIS|CDSD|Premium
OptionWorks Futures Options|Time-Series|OWF|NYM_CL_CL_N2019_IVS|Premium
ORATS Option Volatility Surfaces|Time-Series|OPT|MSFT|Premium
US Equity Historical & Option Implied Volatilities|Time-Series|VOL|MSFT|Premium
Robur Global Select Stock Fundamentals|Time-Series|RB1|0031_FORECAST|Premium
FinSentS Web News Sentiment|Time-Series|NS1|TWTR_US|Premium
CLS FX Prices|Table|CLS|IDHP|Premium
CLS FX Flow Data|Table|CLS|IDHOF|Premium
Barchart Global Index Prices|Time-Series|BCIW|_SPXT|Premium
CLS FX Volume Data (daily)|Time-Series|CLSD|USDSEK_ORF|Premium
CLS FX Volume Data (monthly)|Time-Series|CLSM|CADJPY_SWP|Premium
Reference Futures|Time-Series|SRF|CME_HGZ2017|Premium
Foreign Exchange Rates|Time-Series|CUR|MXN|Premium
Interest Rate Swaption Volatility Data|Table|CFIS|SWO|Premium
Swap Curve Data|Table|CFIS|SCD|Premium
FX Option Volatility Data|Table|CFIS|FXO|Premium
YData Enhanced Events|Table|YC|EE|Premium
YData Enhanced Events History|Table|YC|EEH|Premium
YData Complete Events|Table|YC|CE|Premium
YData Complete Events History|Table|YC|CEH|Premium
YData Basic Events|Table|YC|BE|Premium
YData Basic Events History|Table|YC|BEH|Premium
OptionWorks CME Options Settlement Prices|Table|AR|OWCS|Premium
MarketWorks ICE Futures Settlement Prices|Table|AR|MWIS|Premium
OptionWorks ICE Options Settlement Prices|Table|AR|OWIS|Premium
MarketWorks CME Futures Settlement Prices|Table|AR|MWCS|Premium
Zacks Earnings Announcements|Table|ZACKS|EA|Premium
Zacks Earnings Surprises|Table|ZACKS|ES|Premium
Zacks Sales Estimates|Table|ZACKS|SE|Premium
Zacks Earnings Estimates|Table|ZACKS|EE|Premium
Zacks Analyst Recommendations|Table|ZACKS|AR|Premium
Zacks Sales Surprises|Table|ZACKS|SS|Premium
Zacks Earnings Trends|Table|ZACKS|EET|Premium
Zacks Upcoming Splits|Table|ZACKS|USP|Premium
Zacks Analyst Revisions|Table|ZACKS|EREV|Premium
Zacks Institutional Holdings Collection|Table|ZACKS|IHC|Premium
Zacks Institutional Holdings History|Table|ZACKS|HH|Premium
Zacks Expanded Fundamental Ratios|Table|ZACKS|RF1|Premium
Zacks Target Price History|Table|ZACKS|TP|Premium
Zacks Street Earnings Surprises|Table|ZACKS|SES|Premium
Zacks Sales Estimates History|Table|ZACKS|SEH|Premium
Zacks Street Earnings Estimates|Table|ZACKS|SEE|Premium
Zacks Analyst Rating History|Table|ZACKS|RH|Premium
Zacks Preannouncement History|Table|ZACKS|IRH|Premium
Zacks Insider Metrics|Table|ZACKS|ZIT1|Premium
Zacks Holder Metrics|Table|ZACKS|IHM|Premium
Zacks Long Term Growth History|Table|ZACKS|LTGH|Premium
Zacks Consensus Earnings Estimate History|Table|ZACKS|EEH|Premium
Zacks EBITDA|Table|ZACKS|EB|Premium
Zacks Fundamentals Collection C|Table|ZACKS|FE|Premium
Zacks Fundamentals Collection A|Table|ZACKS|FC|Premium
Core China Fundamentals Data|Time-Series|DY1|600887_FOREX_GAIN_AR|Premium
Chinese Earnings Forecasts|Time-Series|DY6|600887_EARNING_FORECAST|Premium
Chinese Spot Metal Prices|Time-Series|DY9|AG9999|Premium
Chinese Futures Data|Time-Series|DY8|FU1704_201703|Premium
Chinese Stock Index Prices|Time-Series|DY7|901|Premium
Chinese ETF and Mutual Fund Data|Time-Series|DY10|510500_XSHG_DAILY_PRICE|Premium
Quantcha Risk Metrics|Time-Series|QRM|MSFT|Premium
US Option Analytics|Time-Series|QOA|MSFT|Premium
Global Yield Curves|Time-Series|YC|DEU30Y|Premium
ETF Fund Flows|Table|ETFG|FUND|Premium
ETF Global Proprietary Analytics|Table|ETFG|ANLT|Premium
ETF Industry Profiles|Table|ETFG|INDP|Premium
Core India Fundamentals Data|Time-Series|DEB|TCS_A_CFROA|Premium
Indian Equities Adjusted End of Day Prices|Time-Series|TC1|SUNPHARMA|Premium
RealVol Indices|Time-Series|VOLX|VOLSPY|Premium
PortfolioEffect Volatility and Risk Factors|Time-Series|PE|AAPL_VAR|Premium
PortfolioEffect Risk and Performance Metrics|Time-Series|PM|AAPL_EXPECTED_SHORTFALL_95CI|Premium
US Industry Aggregates|Time-Series|EA1|REALMANDEV_AGM|Premium
Railroad Traffic|Time-Series|RR1|COFC|Premium
Chinese Stock Prices|Time-Series|DY4|601628|Premium
Barchart ICE Europe Futures|Time-Series|BCICE|CBZ2016|Premium
China Macroeconomic and Industrial Data|Time-Series|DY2|I2060001265|Premium
Trends in Mutual Fund Investing|Time-Series|ICI4|E_DOM|Premium
Chinese Corporate Actions|Time-Series|DY3|000651_DAILY_RETURNS|Premium
Barchart Euronext.LIFFE Commodities Futures|Time-Series|BCLFE|XZ2016|Premium
Chinese Equity Factor Data A|Time-Series|DY5|601988_XSHG_FACTORSDP2|Premium
Zacks Company Profiles|Table|ZACKS|CP|Premium
EDI World Corporate Actions|Table|EDI|WCA695|Premium
Mergent Global Fundamentals Data|Table|MER|F1|Premium
Zacks Historical Daily Maintenance|Table|ZACKS|HDM|Premium
Zacks Daily Maintenance|Table|ZACKS|DM|Premium
Estimated Long-Term Mutual Fund Flows|Time-Series|ICI1|ALL|Premium
Money Market Fund Assets|Time-Series|ICI2|ALL_TOT|Premium
Exchange-Traded Fund Assets and Share Issuance|Time-Series|ICI3|TOTAL|Premium
ClosingBell Active Analyst Ratings|Time-Series|CBARH|XOM|Premium
EventVestor Corporate Buybacks|Time-Series|EVB|AINC|Premium
Free US Fundamentals Data|Time-Series|SF0|ADI_TAXEXP_MRY|Premium
Bombay Stock Exchange Prices|Time-Series|XBOM|500010|Premium
Japan Exchange Group Prices|Time-Series|XJPX|13760|Premium
Hong Kong Stock Exchange Prices|Time-Series|XHKG|5|Premium
Shenzhen Stock Exchange Prices|Time-Series|XSHE|200026|Premium
National Stock Exchange of India Prices|Time-Series|XNSE|ADSL|Premium
Shanghai Stock Exchange Prices|Time-Series|XSHG|600004|Premium
London Stock Exchange Prices|Time-Series|XLON|AEO|Premium
Toronto Ventures Stock Exchange Prices|Time-Series|XTSX|AFM|Premium
Toronto Stock Exchange Prices|Time-Series|XTSE|AAB|Premium
New York Stock Exchange Prices|Time-Series|XNYS|ABC|Premium
NYSE MKT (AMEX) Prices|Time-Series|XASE|ABE|Premium
Singapore Exchange Prices|Time-Series|XSES|1B6|Premium
OTC Markets Group Prices|Time-Series|OTCB|ADFS|Premium
OTC Bulletin Board Prices|Time-Series|XOTC|CSBB|Premium
NASDAQ Stock Market Prices|Time-Series|XNAS|ACIW|Premium
WIKI Prices|Table|WIKI|PRICES|Free
WIKI EOD Stock Prices|Time-Series|WIKI|MSFT|Free
BraveNewCoin Global Weighted Averages|Time-Series|BNC3|GWA_BTC|Free
BNC Liquid Index|Time-Series|BNC1|BLX|Premium
London Metal Exchange|Time-Series|LME|PR_CO|Free
Chicago Mercantile Exchange Futures Data|Time-Series|CME|NKZ2018|Free
Wiki Continuous Futures|Time-Series|CHRIS|ASX_WM2|Free
Zillow Real Estate Research|Time-Series|ZILLOW|M746_ZRIMFRR|Free
Federal Reserve Economic Data|Time-Series|FRED|NROUST|Free
Intercontinental Exchange Futures Data|Time-Series|ICE|DPW_022018|Free
London Bullion Market Association|Time-Series|LBMA|GOLD|Free
Global Dairy Trade|Time-Series|GDT|BMP_SQ_CP5|Free
Tokyo Stock Exchange|Time-Series|TSE|9266|Free
National Stock Exchange of India|Time-Series|NSE|DNAMEDIA|Free
IMF Cross Country Macroeconomic Statistics|Time-Series|ODA|NRU_BCA_NGDPD|Free
NASDAQ OMX Global Index Data|Time-Series|NASDAQOMX|LDRIG05|Free
Yale Department of Economics|Time-Series|YALE|RBCI|Free
London Platinum & Palladium Market|Time-Series|LPPM|PALL|Free
U.S. Energy Information Administration Data|Time-Series|EIA|AEO_2016_REF_NO_CPP_PRCE_NA_COMM_NA_NG_NA_SATL_Y13DLRPMCF_A|Free
LIFFE Futures Data|Time-Series|LIFFE|RCN2019|Free
Commodity Futures Trading Commission Reports|Time-Series|CFTC|NOMI_FO_L_OLD_CR|Free
EUREX Futures Data|Time-Series|EUREX|FBTSU2018|Free
British Petroleum|Time-Series|BP|COAL_PROD_O_MNG|Free
Johnson Matthey|Time-Series|JOHNMATT|RUTH|Free
University of Michigan|Time-Series|UMICH|SOC22|Free
World Bank Worldwide Governance Indicators|Time-Series|WWGI|VUT_RL_PER_RNK|Free
World Bank World Development Indicators|Time-Series|WWDI|PYF_SL_UEM_1524_MA_ZS|Free
