# REGION EXCH_CODE BEGIN_DATE OPEN CLOSE ADJOPEN ADJCLOSE LUNCH_BEG LUNCH_END ADJ_LUNCH_BEG ADJ_LUNCH_END WEEKEND_TYPE
lamr AR 20090212 39600000 61200000 39600000 61260000 0 0 0 0 0
asia1 AU 20090212 36000000 57600000 25200000 67800000 0 0 0 0 0
euro AV 20090212 32400000 63000000 32100000 63600000 0 0 0 0 0
euro BB 20090212 32400000 63000000 32400000 63600000 0 0 0 0 0
euro BI 20090212 34200000 45000000 34200000 45000000 0 0 0 0 1
euro BQ 20090212 28800000 59400000 28800000 59700000 0 0 0 0 0
euro BU 20120702 36600000 60900000 36600000 61500000 0 0 0 0 0
euro BU 20090212 34200000 49200000 34200000 49560000 0 0 0 0 0
lamr BZ 20121203 36000000 63000000 36000000 64200000 0 0 0 0 0
lamr BZ 20120312 36000000 61200000 36000000 61800000 0 0 0 0 0
lamr BZ 20111016 39600000 64800000 39600000 65400000 0 0 0 0 0
lamr BZ 20110313 36000000 61200000 36000000 61800000 0 0 0 0 0
lamr BZ 20101017 39600000 64800000 39600000 65400000 0 0 0 0 0
lamr BZ 20100222 36000000 61200000 36000000 61800000 0 0 0 0 0
lamr BZ 20091019 39600000 64800000 39600000 65400000 0 0 0 0 0
lamr BZ 20090315 36000000 61200000 36000000 61800000 0 0 0 0 0
lamr BZ 20090212 39600000 64800000 39600000 65400000 0 0 0 0 0
lamr CB 20121105 34200000 57600000 34200000 57606000 0 0 0 0 0
lamr CB 20121021 30600000 54000000 30600000 54006000 0 0 0 0 0
lamr CB 20120312 28800000 54000000 28800000 54060000 0 0 0 0 0
lamr CB 20111107 32400000 57600000 32400000 57660000 0 0 0 0 0
lamr CB 20110314 32400000 54000000 32400000 54060000 0 0 0 0 0
lamr CB 20110101 32400000 57600000 32400000 57660000 0 0 0 0 0
lamr CB 20090212 32400000 46800000 32400000 46800000 0 0 0 0 0
asia2 CH 20090212 34200000 54000000 33900000 54060000 41400000 46800000 41460000 46800000 0
lamr CI 20121104 34200000 61200000 34200000 61200000 0 0 0 0 0
lamr CI 20121021 34200000 57600000 34200000 57600000 0 0 0 0 0
lamr CI 20090212 34200000 59400000 34200000 59400000 0 0 0 0 0
namr CN 20090212 34200000 57600000 33600000 58500000 0 0 0 0 0
euro CP 20110201 33000000 58800000 33000000 59400000 0 0 0 0 0
euro CP 20090212 33000000 57600000 33000000 57900000 0 0 0 0 0
euro CZ 20090212 36000000 57600000 36000000 57600000 0 0 0 0 0
euro DC 20090212 32400000 60900000 28800000 63000000 0 0 0 0 0
euro EB 20090212 28800000 59400000 28800000 60060000 0 0 0 0 0
euro EY 20120820 37800000 52200000 37800000 52200000 0 0 0 0 1
euro EY 20120720 37800000 48600000 37800000 48600000 0 0 0 0 1
euro EY 20110901 37800000 52200000 37800000 52200000 0 0 0 0 1
euro EY 20110801 37800000 48600000 37800000 48600000 0 0 0 0 1
euro EY 20100912 37800000 52200000 37800000 52200000 0 0 0 0 1
euro EY 20100811 37800000 48600000 37800000 48600000 0 0 0 0 1
euro EY 20090921 37800000 52200000 37800000 52200000 0 0 0 0 1
euro EY 20090821 37800000 48600000 37800000 48600000 0 0 0 0 1
euro EY 20090212 37800000 52200000 37800000 52200000 0 0 0 0 1
euro FH 20090212 36000000 66300000 35100000 68400000 0 0 0 0 0
euro FP 20090212 32400000 63000000 32400000 63660000 0 0 0 0 0
euro GA 20090212 37800000 61200000 37740000 62400000 0 0 0 0 0
euro GR 20090212 32400000 63000000 32400000 63600000 0 0 0 0 0
euro HB 20090212 32400000 59400000 32400000 60000000 0 0 0 0 0
asia2 HK 20120305 34200000 57600000 32400000 57600000 43200000 46800000 43200000 46798000 0
asia2 HK 20110307 34200000 57600000 32400000 57600000 43200000 48600000 43200000 48598000 0
asia2 HK 20090323 36000000 57600000 34200000 57900000 45000000 52200000 45060000 52140000 0
asia2 HK 20090212 36000000 57600000 34200000 58210000 45000000 52200000 45060000 52140000 0
euro ID 20090212 28800000 59400000 28800000 61200000 0 0 0 0 0
asia2 IJ 20090212 34200000 57900000 33900000 57900000 43200000 48600000 43200000 48600000 0
euro IM 20090212 32400000 62700000 32400000 63300000 0 0 0 0 0
asia2 IN 20100104 33300000 55800000 28800000 57900000 0 0 0 0 0
asia2 IN 20090212 35700000 56400000 35700000 57600000 0 0 0 0 0
euro IT 20090212 35100000 58500000 34200000 59400000 0 0 0 0 1
euro IX 20090212 28800000 59400000 28800000 59700000 0 0 0 0 0
asia1 JP 20111121 32400000 54000000 32400000 55200000 41400000 45000000 41700000 45000000 0
asia1 JP 20090212 32400000 54000000 32400000 55200000 39600000 45000000 39900000 45000000 0
euro JR 20111002 37800000 45600000 36000000 46800000 0 0 0 0 1
euro JR 20090212 36000000 44100000 30600000 45600000 0 0 0 0 1
euro KK 20120819 32400000 45000000 32280000 45000000 0 0 0 0 1
euro KK 20120722 38400000 45900000 36600000 45900000 0 0 0 0 1
euro KK 20090921 32400000 45000000 32280000 45000000 0 0 0 0 1
euro KK 20090821 38400000 45900000 36600000 45900000 0 0 0 0 1
euro KK 20090212 32400000 45000000 32280000 45000000 0 0 0 0 1
euro KN 20090212 34200000 54000000 30000000 54000000 0 0 0 0 0
asia2 KS 20090212 32400000 53400000 27000000 64815000 0 0 0 0 0
euro LB 20090212 34200000 45000000 32400000 45060000 0 0 0 0 0
euro LI 20090212 29700000 55800000 28200000 62160000 0 0 0 0 0
euro LN 20090212 28800000 59400000 26100000 65700000 0 0 0 0 0
euro MC 20090212 32400000 55800000 32400000 55815000 0 0 0 0 0
asia2 MK 20090212 32400000 61200000 32400000 61260000 45000000 52200000 45000000 52200000 0
lamr MM 20121104 30600000 54000000 30600000 54600000 0 0 0 0 0
lamr MM 20121028 27000000 50400000 27000000 51000000 0 0 0 0 0
lamr MM 20120402 30600000 54000000 30600000 54600000 0 0 0 0 0
lamr MM 20120312 27000000 50400000 27000000 50520000 0 0 0 0 0
lamr MM 20111106 30600000 54000000 30600000 54120000 0 0 0 0 0
lamr MM 20111031 27000000 50400000 27000000 50520000 0 0 0 0 0
lamr MM 20110402 30600000 54000000 30600000 54120000 0 0 0 0 0
lamr MM 20110314 27000000 50400000 27000000 50520000 0 0 0 0 0
lamr MM 20090212 30600000 54000000 30600000 54120000 0 0 0 0 0
euro NA 20090212 32400000 63000000 32400000 63660000 0 0 0 0 0
euro NL 20101206 36900000 52500000 36900000 52500000 0 0 0 0 0
euro NL 20090212 36900000 45300000 36900000 45300000 0 0 0 0 0
euro NO 20120806 32400000 59400000 29700000 62400000 0 0 0 0 0
euro NO 20090212 32400000 63000000 29700000 64800000 0 0 0 0 0
euro NR 20090212 32400000 63000000 32400000 63300000 0 0 0 0 0
asia1 NZ 20100711 36000000 60300000 32400000 63060000 0 0 0 0 0
asia2 NZ 20090212 36000000 60300000 32400000 63060000 0 0 0 0 0
euro OM 20120216 36000000 46800000 36000000 46800000 0 0 0 0 1
euro OM 20090212 36000000 47100000 36000000 47100000 0 0 0 0 1
asia2 PA 20090212 32400000 59400000 32400000 59400000 0 0 0 0 0
lamr PE 20130310 30600000 54000000 30600000 54600000 0 0 0 0 0
lamr PE 20121104 34200000 57600000 34200000 58200000 0 0 0 0 0
lamr PE 20120311 30600000 54000000 30600000 54600000 0 0 0 0 0
lamr PE 20111106 34200000 57600000 34200000 58200000 0 0 0 0 0
lamr PE 20110314 30600000 54000000 30600000 54600000 0 0 0 0 0
lamr PE 20090212 34200000 57600000 34200000 58200000 0 0 0 0 0
euro PL 20090212 28800000 59400000 28800000 60000000 0 0 0 0 0
asia2 PM 20120101 34200000 55800000 34200000 55800000 43200000 48600000 43200000 48600000 0
asia2 PM 20111001 34200000 46800000 34200000 46800000 0 0 0 0 0
asia2 PM 20090212 34200000 43200000 34200000 43800000 0 0 0 0 0
euro PW 20110101 32400000 62400000 32400000 64200000 0 0 0 0 0
euro PW 20090212 32400000 58200000 32400000 59400000 0 0 0 0 0
euro PZ 20090212 28800000 59400000 28800000 62160000 0 0 0 0 0
euro QD 20110201 34200000 46800000 34200000 47700000 0 0 0 0 1
euro QD 20100905 36000000 45900000 36000000 46800000 0 0 0 0 1
